1000134112 2-813400333434244 224131322333322112222222123322223222220000000000000000000000000000000000000000000000000000057.73674873358.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821558.31994821557.06220503559.16181353159.16181353159.16181353157.06220503557.062205035           057.06220503557.06220503559.16181353159.16181353157.06220503557.06220503559.16181353159.16181353159.16181353159.16181353159.16181353157.06220503557.06220503559.16181353157.06220503559.16181353159.16181353159.16181353158.31994821558.31994821559.16181353157.06220503559.16181353159.16181353159.16181353159.16181353159.16181353159.16181353157.32999938958.97741567657.32999938957.32999938957.32999938958.97741567657.32999938958.97741567657.32999938957.32999938958.97741567658.97741567658.31994821557.61494287658.78433149158.31994821558.78433149158.78433149157.61494287657.61494287658.78433149158.319948215
1000231411-8 211020143344232 1222232223322222112212331132232321113200000000000000000000000000000000000000000000000000000113.22235013114.64576149115.02723341114.36601023115.02723341115.02723341115.02723341115.02723341114.36601023111.81148591115.02723341111.81148591114.36601023115.02723341115.02723341111.81148591111.81148591115.02723341114.36601023115.02723341115.02723341115.02723341111.81148591114.82222364114.82222364115.02723341111.81148591111.81148591115.02723341115.02723341115.02723341111.81148591115.02723341114.82222364115.02723341115.02723341115.02723341115.02723341115.02723341114.82222364115.02723341           0115.02723341115.02723341114.64576149115.02723341115.02723341115.02723341114.64576149111.81148591115.02723341114.82222364115.02723341114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023114.36601023
1000334231-8 132010433344411-8244322443244112122223122221121112221100000000000000000000000000000000000000000000000000000 39.7231457840.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.12438967740.872630044           040.87263004440.87263004440.87263004440.87263004440.87263004439.09555917239.09555917239.09555917240.87263004439.09555917239.09555917240.87263004440.87263004439.09555917239.09555917240.87263004439.09555917239.09555917239.09555917240.87263004440.87263004439.09555917240.87263004439.09555917240.87263004440.87263004439.09555917240.87263004440.87263004440.87263004440.87263004440.87263004439.09555917240.87263004439.09555917239.09555917240.872630044
1000421341-8 311140144444233 1244443434344221122121111111211111111100000000000000000000000000000000000000000000000000000 89.9610450691.61764459588.69649487988.69649487988.69649487988.69649487988.69649487991.61764459591.61764459591.61764459590.86974248591.61764459591.617644595 89.89325047           088.69649487988.69649487991.61764459591.61764459591.61764459591.61764459591.61764459591.61764459591.61764459591.61764459591.61764459591.29495766191.61764459590.86974248591.61764459588.69649487988.69649487988.69649487991.61764459591.61764459591.61764459591.61764459591.61764459591.61764459590.86974248591.61764459591.29495766191.42981254391.61764459591.24041049391.29495766191.61764459591.61764459591.14493732490.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.86974248590.869742485
1000512422 1 300320233333233 2233232223222221122212332223333333333300000000000000000000000000000000000000000000000000000198.70495117200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189204.21492873193.60794076204.21492873193.60794076193.60794076204.21492873193.60794076204.21492873193.60794076193.60794076204.21492873           0193.60794076204.21492873204.21492873204.21492873204.21492873204.21492873193.60794076201.56299841204.21492873204.21492873204.21492873204.21492873204.21492873204.21492873204.21492873193.60794076204.21492873200.71207189200.71207189
1000623121-8 131110343443223-8242333444322221121111332414222431414400000000000000000000000000000000000000000000000000000205.01429521210.31748508210.31748508210.31748508210.31748508210.31748508203.74506367207.08514668203.74506367203.74506367203.74506367203.74506367210.31748508203.74506367210.31748508           0203.74506367210.31748508203.74506367203.74506367210.31748508203.74506367203.74506367210.31748508203.74506367203.74506367210.31748508210.31748508203.74506367210.31748508210.31748508203.74506367203.74506367203.74506367210.31748508210.31748508210.31748508203.74506367203.74506367210.31748508210.31748508210.31748508210.31748508210.31748508203.74506367203.74506367210.31748508210.31748508210.31748508210.31748508210.31748508207.08514668210.31748508203.74506367210.31748508203.74506367203.74506367203.74506367210.31748508203.74506367203.74506367210.31748508203.74506367207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668207.08514668203.74506367203.74506367
1000723311-8 304030444444223 223223333333311112232222222111111111110000000000000000000000000000000000000000000000000000042.76536585443.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924643.19733924641.59743779341.59743779343.786776624           043.78677662443.78677662441.59743779343.78677662443.78677662441.59743779343.78677662443.78677662443.78677662443.78677662443.78677662441.59743779343.78677662443.78677662441.59743779341.59743779343.78677662443.78677662443.78677662443.78677662443.78677662443.78677662443.78677662443.19733924643.197339246
1000834432 2-803442344434123 222233333333311111111121212233332221210000000000000000000000000000000000000000000000000000051.13636363652.13987772152.139877721  50.954880552.13987772152.139877721  50.9548805  50.9548805  50.9548805  50.9548805  50.954880552.13987772152.13987772152.13987772152.13987772152.13987772152.13987772152.13987772152.13987772152.139877721  50.9548805  50.954880552.139877721  50.9548805  50.954880552.13987772152.13987772152.139877721  50.954880552.13987772152.13987772152.139877721  50.954880552.139877721  50.9548805  50.954880552.139877721  50.954880552.13987772152.13987772152.13987772152.139877721  50.9548805  50.954880552.13987772152.13987772152.13987772152.13987772152.13987772152.139877721  50.9548805  50.9548805  50.954880552.13987772152.139877721  50.9548805  50.954880552.139877721           0  50.9548805  50.9548805  50.9548805  50.9548805  50.9548805  50.954880551.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256251.65289256252.13987772152.139877721  50.954880552.13987772152.139877721  50.954880552.13987772152.13987772152.13987772152.139877721
1000923421-8 330040333343312 222223234322211122233333242323321113320000000000000000000000000000000000000000000000000000043.19733924644.18775443244.18775443242.17922013944.18775443244.18775443244.18775443244.18775443242.17922013944.18775443244.18775443242.17922013944.187754432           044.18775443244.18775443244.18775443244.18775443244.18775443244.18775443244.18775443244.18775443244.18775443242.17922013944.18775443244.18775443242.17922013942.17922013942.17922013943.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600643.63367600644.18775443242.179220139
1001012432 1 303120233444124 2222211322122222222222232324433321113200000000000000000000000000000000000000000000000000000198.70495117200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189200.71207189204.21492873193.60794076204.21492873193.60794076193.60794076204.21492873193.60794076204.21492873193.60794076193.60794076204.21492873204.21492873193.60794076204.21492873204.21492873204.21492873204.21492873204.21492873193.60794076201.56299841204.21492873204.21492873           0204.21492873204.21492873204.21492873204.21492873193.60794076204.21492873200.71207189200.71207189
