IDNUMBER,INSTRUCTIONAL_LEVEL,ENROLLMENT_LEVEL,APPROX_ENROLLMENT,APPROX_TOTAL_COMPUTERS,COMPUTERS_PER_STUDENT
10001,High/Other,1000+,1200,750,0.625
10002,High/Other,<300,150,100,0.6666666666666666
10003,High/Other,1000+,1200,1200,1
10004,Middle,<300,150,100,0.6666666666666666
10005,Elementary,300-499,400,350,0.875
10006,Middle,500-999,750,750,1
10007,Middle,500-999,750,1200,1.6
10008,High/Other,1000+,1200,750,0.625
10009,Middle,500-999,750,750,1
10010,Elementary,300-499,400,350,0.875
10011,Middle,500-999,750,750,1
10012,Middle,300-499,400,350,0.875
10013,Middle,300-499,400,350,0.875
10014,Middle,1000+,1200,1200,1
10015,Middle,<300,150,100,0.6666666666666666
10016,Elementary,<300,150,100,0.6666666666666666
10017,Elementary,<300,150,350,2.3333333333333335
10018,High/Other,1000+,1200,1200,1
10019,High/Other,1000+,1200,1200,1
10020,Middle,500-999,750,350,0.4666666666666667
10021,Middle,500-999,750,750,1
10022,Elementary,<300,150,350,2.3333333333333335
10023,Elementary,500-999,750,750,1
10024,Elementary,<300,150,350,2.3333333333333335
10025,Elementary,300-499,400,350,0.875
10026,Elementary,300-499,400,350,0.875
10027,High/Other,500-999,750,750,1
10028,Elementary,500-999,750,350,0.4666666666666667
10029,Middle,300-499,400,350,0.875
10030,High/Other,1000+,1200,1200,1
10031,Middle,<300,150,350,2.3333333333333335
10032,Middle,<300,150,100,0.6666666666666666
10033,High/Other,<300,150,100,0.6666666666666666
10034,Elementary,<300,150,100,0.6666666666666666
10035,High/Other,1000+,1200,1200,1
10036,Middle,300-499,400,750,1.875
10037,High/Other,1000+,1200,1200,1
10038,High/Other,300-499,400,350,0.875
10039,High/Other,300-499,400,350,0.875
10040,Elementary,300-499,400,350,0.875
10041,High/Other,1000+,1200,1200,1
10042,Middle,<300,150,100,0.6666666666666666
10043,Middle,1000+,1200,1200,1
10044,Elementary,500-999,750,750,1
10045,Elementary,500-999,750,350,0.4666666666666667
10046,Elementary,300-499,400,350,0.875
10047,Elementary,500-999,750,100,0.13333333333333333
10048,Elementary,300-499,400,350,0.875
10049,Middle,<300,150,350,2.3333333333333335
10050,High/Other,500-999,750,750,1
10051,Middle,500-999,750,750,1
10052,Middle,500-999,750,750,1
10053,Middle,<300,150,100,0.6666666666666666
10054,Elementary,500-999,750,750,1
10055,Elementary,500-999,750,350,0.4666666666666667
10056,Middle,300-499,400,350,0.875
10057,High/Other,1000+,1200,1200,1
10058,Middle,1000+,1200,350,0.2916666666666667
10059,High/Other,1000+,1200,750,0.625
10060,Elementary,300-499,400,350,0.875
10061,High/Other,500-999,750,750,1
10062,Elementary,300-499,400,350,0.875
10063,Middle,1000+,1200,1200,1
10064,Elementary,300-499,400,350,0.875
10065,High/Other,1000+,1200,750,0.625
10066,Middle,<300,150,350,2.3333333333333335
10067,High/Other,1000+,1200,1200,1
10068,High/Other,500-999,750,750,1
10069,Elementary,500-999,750,350,0.4666666666666667
10070,High/Other,500-999,750,750,1
10071,Middle,1000+,1200,1200,1
10072,High/Other,300-499,400,350,0.875
10073,Elementary,500-999,750,750,1
10074,High/Other,300-499,400,350,0.875
10075,Middle,500-999,750,750,1
10076,High/Other,1000+,1200,1200,1
10077,Elementary,300-499,400,750,1.875
10078,Middle,300-499,400,350,0.875
10079,High/Other,300-499,400,350,0.875
10080,Middle,500-999,750,750,1
10081,High/Other,1000+,1200,1200,1
10082,Elementary,500-999,750,350,0.4666666666666667
10083,Middle,500-999,750,1200,1.6
10084,Elementary,300-499,400,350,0.875
10085,High/Other,1000+,1200,350,0.2916666666666667
10086,Elementary,<300,150,350,2.3333333333333335
10087,Middle,1000+,1200,1200,1
10088,Elementary,300-499,400,350,0.875
10089,High/Other,1000+,1200,1200,1
10090,Middle,300-499,400,350,0.875
10091,Elementary,500-999,750,1200,1.6
10092,Middle,1000+,1200,350,0.2916666666666667
10093,Middle,1000+,1200,1200,1
10094,Middle,1000+,1200,1200,1
10095,Elementary,<300,150,100,0.6666666666666666
10096,High/Other,500-999,750,1200,1.6
10097,High/Other,1000+,1200,1200,1
10098,High/Other,500-999,750,750,1
